location,subLocation,status,employeeId,username,assetType,assetMake,assetSerialNumber,assetModel,invoiceNumber,poNumber,amcInvoiceNumber,warrantyStatus,warrantyStartDate,warrantyEndDate,warrantyTenure,purchaseDate,purchaseYear,price,vendorName,contactNumber,mailId,processor,cpuSpeed,ramInstalled,hddCapacity,operatingSystem,osLicense,transactionDate,transactionCreatedDate
Tirumala Office,Tirumala Office,Defective under repair,,,Laptop,Dell,HJ4CJW2,Inspiron54912-in-1,IGS/093/2020-21,4500127103,,AMC,01-Apr-22,31-Mar-23,1,02-Feb-20,2020,"52,979.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI310thGen,2.10GHZ,8GB,250GBSSD,WndowsSingleLanguage,Licenced,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,HP,5CD01238QW,HPProbook440G7,LAP/HO/371,4500127294,IGS/100/2020-21,AMC,16-Sep-20,15-Sep-23,3,08-Sep-20,2020,"55,849.00",INFOTECHGLOBALSERVICES,9433445690/7980507350,contact@infotechglobal.in,IntelCoreI5-10210U,2.30GHz,8GB,1TB,WINDOWS10PRO(x64),,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Laptop,Lenovo,P209W41J,LenovoThinkBookPlus(20TG004LIH),LAP/HO/409,4500142339,IIT/21-22/K0776,Warranty,14-Jul-21,13-Jul-24,3,14-Jul-21,2021,"97,550.00",INSPIREI-TECHSERVICESPVTLTD,7980324717,mdrolia@iitindia.com,IntelCorei5-10210U,1.60GHz,8GB,500GBSSD,WINDOWS10PRO(x64),,,
Tirumala Office,Tirumala Office,Defective under repair,,,Laptop,Dell,JPTD103,Latitude3400,,4500127376,BSPL/G0559/20-21,Warranty,01-Sep-20,30-Nov-23,3,15-Sep-20,2020,"38,409.00",BINARYSOLUTIONSPVTLTD,,saptarshi@binary.co.in,IntelCoreI38145U,2.10GHZ,4GB,1TB+256GBSSD,windows10,,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Desktop,HP,INA806SPZ2,HP280G3MT,DES/HO/302,4500091515,BSPL/G1080/17-18,AMC,01-Apr-22,31-Mar-23,1,28-Feb-18,2018,"29,100.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI37thGen,2.00GHZ,4+4GB,1TB,WINDOWS10PRO(x64),,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Desktop,HP,5cg216zwp,HP280G1MT,,4500065513,,AMC,01-Apr-22,31-Mar-23,1,19-Nov-16,2016,,AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,Ci3,3.70GHZ,4GB,500GB,WINDOWS10PRO(x64),,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Desktop,Assamble,N/A1,N/A,DES/HO/133,N/A,N/A,AMC,01-Apr-20,31-Mar-21,1,30-feb-2015,2015,"20,800.00",BiswasUdyog,8240360337/9862092057,raktim.mukherjee@biswasudyog.com,IntelPentiumR,3.00GHz,NORAM,500GB,WINDOWS10PRO(x64),,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Desktop,HP,INA710RBVH,HP280G2MT,DES/HO/300,4500069946,,AMC,01-Apr-22,31-Mar-23,1,08-Feb-17,2017,"25,890.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCorei3-61003.70GHz,3.70GHZ,4GB,500GB,WINDOWS10PRO(x64),,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Desktop,HP,INA631V8X9,HP280G2MT,N/A,,,AMC,01-Apr-22,31-Mar-23,1,04-Feb-17,2017,"25,890.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCorei3-6100,3.70GHz,4GB,500GB,WINDOWS10PRO(x64),,,
Tirumala Office,Tirumala Office,StockwithWorkingcondition,,,Desktop,Assamble,N/A2,N/A,N/A,N/A,N/A,AMC,01-Apr-22,31-Mar-23,1,23-Dec-15,2015,"20,800.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI3,3.70GHZ,8GB,500GB,WINDOWS10PRO(x64),,,
