location,subLocation,status,employeeId,username,assetType,assetMake,assetSerialNumber,assetModel,invoiceNumber,poNumber,amcInvoiceNumber,warrantyStatus,warrantyStartDate,warrantyEndDate,warrantyTenure,purchaseDate,purchaseYear,price,vendorName,contactNumber,mailId,processor,cpuSpeed,ramInstalled,hddCapacity,operatingSystem,osLicense,transactionDate,transactionCreatedDate
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG6364J3F,HP240G5NotebookPC,BSPL/1508/16-17,4500069937,2017,25228,,,,,,,AccelITServicesPvtLtd,,imssupport@accelits.com,INTELCOREI3,2.00GHZ,8GB,500GB,WINDOWS7,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG6076JNN,HP240G5NotebookPC,OldAsset,4600019136,2017,25228,,,,,,,AccelITServicesPvtLtd,,imssupport@accelits.com,IntelCoreI3,3.40GHZ,4GB,500GB,WINDOWS7,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG9216XR5,HP240G7NotebookPC,BSPL/G0570/19-20,4500113512,,,,,,,2019,25750,BINARYSOLUTIONSPVTLTD,9830349999,saptarshi@binary.co.in,IntelCorei3-7020U,2.30GHz,4GB,1TB,WINDOWS10PROx64(v2004),LICENCED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,MP123BRZ,IDEAPAD100,OldAsset,OldAsset,,,,,,,2016,21200,AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI3,2.40GHZ,4GB,500GB,WINDOWS10Pro64Bit,LICENCED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CD7449DBW,HP240G6NotebookPC,BSPL/G1010/17-18,4500090555,,,,,,15-Feb-18,2018,"25,899.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCorei3-6006U,2.00GHZ,4GB,500GB,WINDOWS10Pro64Bit,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CD746CCDB,HP240G6NotebookPC,BSPL/G0655/18-19,4500098431,,,,,,06-Jul-18,2018,"24,699.00",AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI36thGen,3.90GHZ,4GB+4GB,1TB+240GBSSD,WINDOWS10Pro64Bit,LICENCED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,Lenovo,MP10PZNX,LenovoB40-80,OldAsset,OldAsset,,,,,,,2016,22500,AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI3,2.00GHZ,4GB,1TB,WINDOWS10Pro64Bit,LICENCED,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,CND5314RKS,HP250G3,OldAsset,OldAsset,,,,,,03-Dec-14,2014,,calldesk@kaizencare.net,,,IntelCoreI3,2.10GHZ,4GB,500GB,WINDOWS10SingleLanguage64BIT(L),Office2010,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CD746CBBT,HP240G6NotebookPC,BSPL/G0729/18-19,4500098940,,,,,,19-Jul-18,2018,24699,AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCoreI37thGen,3.90GHZ,4GB+4GB,1TB+240GBSSD,Windows10PRO,,,
Tirumala Office,Tirumala Office,Scrap,,,Laptop,HP,5CG6311GXV,HP240G5NotebookPC,OldAsset,400056612,,,,,,21-Nov-16,2017,25228,AccelITServicesPvtLtd,9830267424,imssupport@accelits.com,IntelCorei3-5005U,2.00GHZ,4GB,500GB,WINDOWS10PRO(x64),LICENCED,,
